student_id,name,age,gender,quiz1_marks,quiz2_marks,quiz3_marks,total_assignments,assignments_submitted,midterm_marks
106,Amanda Adams,23,Male,3.6,9.8,5,5,,15.7
107,Frederick Alexander,21,Male,8.6,6.2,1.6,5,,7
108,Darrell Atkinson,21,Female,6.5,2.2,4.8,5,,17.3
109,Natalie Young,25,Female,6.5,7.7,10,5,,30
110,Julia Parks,24,Female,10,6.1,5.5,5,,19.8
111,Philip Washington,18,Male,5.9,4.6,5.4,5,,14.6
112,Alejandra Briggs,25,Male,6.5,9.8,0,5,,30
113,Christopher Lewis,19,Female,6.3,5.1,1.3,5,,12.2
114,Stacey Mueller,23,Female,8.9,9.2,7.7,5,,8.7
115,Michael Martinez,24,Female,4.6,7.8,4.8,5,,16.3
116,Jasmine Espinoza,25,Female,6.3,8.9,2.3,5,,26.2
117,Daniel Mitchell,22,Female,7.7,2.9,8.3,5,,18.2
118,Alyssa Harris,25,Male,5.6,2.5,0.8,5,,26.1
119,Michele Thompson,22,Female,2.8,10,6.1,5,,19
120,Christopher Jones,20,Male,6.9,8.8,5.8,5,,21.5
121,Andrea Jackson,20,Male,7.6,1.7,1.5,5,,27.4
122,Gary Garner,23,Female,7,6.9,3.9,5,,12.2
123,Amy Patterson MD,24,Female,7.8,1.7,8.6,5,,24.7
124,Rachel Reese,24,Female,10,8.5,0,5,,7.2
125,Amy Johnston,24,Female,8,4.2,6.1,5,,12.4
126,Maria Leach,21,Female,5.2,2.6,2.6,5,,30
127,Mark Jefferson,25,Male,8,6.5,2.9,5,,27
128,John Powell,24,Male,10,5.8,8.9,5,,13
129,Sean Mcconnell,18,Female,5.7,10,7.6,5,,14.4
130,Steven Walton,18,Male,8.2,2.1,3.3,5,,17.5
131,John Miller,25,Male,7.4,2.7,6.6,5,,26.1
132,Stephanie Stephenson,23,Male,8.7,7.1,5.3,5,,3.4
133,Eric Wells,24,Female,7.5,2.8,2.3,5,,30
134,Joseph Rich,19,Female,7.1,6.1,8.3,5,,14.8
135,Crystal Jones,18,Female,6.1,5.2,6.2,5,,15.2
136,Jennifer Jones,18,Male,6.6,4.9,9.8,5,,22
137,Ernest Reyes,18,Male,7.5,8.2,5.7,5,,30
138,Amber Terry,19,Male,10,5.1,4.2,5,,30
139,Sylvia Torres,23,Male,6.2,5.3,1.5,5,,10.8
140,Katrina Carey,19,Male,6.9,6.6,10,5,,10
141,Joshua Smith,18,Female,6.9,7.7,2.1,5,,23.8
142,Rachel Miller,24,Male,7.6,10,3.6,5,,14.7
143,Marie Higgins,21,Male,5.7,9,9.8,5,,14.3
144,Yolanda Roman,19,Male,5.9,7.6,6.1,5,,4.8
145,Joseph Strickland,23,Male,5.8,5,6.4,5,,23.3
146,Joseph White,18,Female,6.6,4,1.4,5,,12.7
147,Kristi James,23,Female,6,6.6,5.5,5,,30
148,Amy George,20,Female,6,8.6,7.5,5,,30
149,Jamie Kim,25,Female,8.2,8.8,8,5,,25.1
150,Mark Thomas,22,Female,9.8,7.6,5,5,,21.5
151,Joseph Brown,25,Male,7.7,5,5.6,5,,30
152,Gregory Johnson,24,Female,4.3,7.9,7.4,5,,30
153,David Marshall,23,Male,7.5,9.9,5.2,5,,22.8
154,Kurt Mora,22,Female,6.1,6.5,8.7,5,,9.7
155,Richard Gonzalez,22,Male,9.4,2.2,3.8,5,,23.8
156,Jeffrey Gardner,21,Female,5.9,10,1.2,5,,0
157,Suzanne Graham,21,Female,5,7.8,6.2,5,,14.4
158,Robert Shea,25,Male,8.3,5.8,10,5,,9.3
159,Colleen Cole,24,Male,6.9,6.6,4.8,5,,23.5
160,Kimberly Johnson,23,Female,6.8,8.8,6.5,5,,24.6
161,Dr. Jake Cortez MD,24,Female,8.3,9.3,6.1,5,,27.1
162,Ann Wilkinson,22,Female,5.6,10,5.4,5,,5.7
163,Russell Gomez,21,Female,8.7,4.4,4.2,5,,1.1
164,Matthew Peterson,20,Male,3.8,7.9,7.9,5,,24.3
165,Charles Rodgers,22,Female,7,3.1,10,5,,28.8
166,Daniel Lambert,21,Female,7.4,0.9,4.8,5,,13.2
167,Sara Howell,20,Female,10,7.6,3.8,5,,25.7
168,Dr. David Hall Jr.,22,Male,7.1,4.4,7.6,5,,23.9
169,Ashley Zimmerman,19,Male,9.1,4.7,9.5,5,,22
170,Miguel Harris,25,Female,10,6.5,3.5,5,,15.2
171,David Patel,22,Female,8,4.6,5.4,5,,30
172,Jillian Pollard,25,Male,7.1,6.3,7.3,5,,9.8
173,Brandon Phillips,18,Male,7.8,7.6,4.1,5,,30
174,Destiny Rowe,22,Male,7.4,8.6,10,5,,15.4
175,Amanda Meyer,24,Male,6.7,8.2,7.5,5,,4.2
176,Michael Davis,25,Female,5.7,7,7,5,,22.6
177,Stephanie Elliott,18,Male,6.9,8.9,7.1,5,,16.3
178,Kimberly Davidson,22,Male,9.3,1.7,4.4,5,,8.8
179,Robert Hunter,19,Male,6.1,6.9,5.4,5,,24.8
180,Linda Stevens,25,Female,9,4.8,0.8,5,,15.7
181,Clayton Clark,22,Female,6.3,5.1,4.5,5,,30
182,Bryan Mccarthy,22,Male,9.1,6.6,4.7,5,,18
183,Barry Lee,21,Male,8.5,6.1,7.7,5,,19.2
184,Valerie Lewis,18,Male,8.8,6.9,8.5,5,,0
185,Eddie Moore,22,Female,9.2,3.4,7.3,5,,9.5
186,Nicole Smith,22,Female,6.6,6.5,8.1,5,,25
187,Paul Smith,25,Female,10,5.9,6.1,5,,30
188,Brandi Weber,24,Female,8.3,3.1,10,5,,8.5
189,David Faulkner,19,Male,6.9,6.8,6.5,5,,24.2
190,John Pitts,18,Female,6.5,8.4,9.1,5,,7.7
191,Erik Noble,20,Female,6.4,9.4,5,5,,21.3
192,Kevin Lopez,22,Male,4.8,2.4,10,5,,11.5
193,Ryan Ortiz,25,Male,5.7,2.7,10,5,,30
194,Jason Flores,23,Female,9,5.2,0,5,,30
195,Douglas Cruz,20,Female,9,10,9.7,5,,25.6
196,Alyssa Oneill,22,Female,8.5,6.7,5.8,5,,19.4
197,Matthew Knox,19,Female,3.6,5.8,2.5,5,,9
198,Mitchell Hughes,24,Male,8.8,2.1,2.5,5,,29.4
199,Regina Burton,24,Male,8.1,3.6,5.8,5,,6.7
200,Tyler Harper,25,Female,3.8,7.1,5.4,5,,25.5
201,Linda Howard,20,Female,7.3,4.9,5.9,5,,25.4
202,Sonya Young DDS,19,Male,5.6,4.3,1.3,5,,30
203,Dr. Richard Cortez,21,Male,5.6,8.2,4.6,5,,30
204,David Taylor,24,Male,5.3,10,1.9,5,,23.1
205,Haley Ramos,19,Male,6.6,5.7,5.6,5,,18.5
206,Kelly Brown,22,Female,5.9,2.6,5.2,5,,30
207,Kevin Vance,25,Male,10,4.6,7.2,5,,30
208,William Patel,20,Male,5.8,3.5,3.6,5,,7.8
209,Tina Case,24,Female,7.5,2.1,6.5,5,,28.3
210,Brian Thornton,18,Female,9.5,3,10,5,,24.2
211,Kristy Peterson,25,Male,8.1,6.2,7.1,5,,10.8
212,Cheryl Garcia,23,Female,6.8,3.7,3.3,5,,30
213,Cynthia Quinn,24,Female,4.8,5.2,9.1,5,,21.4
214,Sue Choi,21,Female,7.4,5.2,5.9,5,,18.5
215,Melinda Whitaker,18,Female,5.4,2.7,0,5,,25.1
216,Kerry Church,24,Female,7.8,10,5.5,5,,28.4
217,Joseph West,20,Female,8.8,5.3,6.3,5,,23.2
218,Lawrence Hill,23,Male,6.7,4.1,7.1,5,,11
219,Jacqueline Gordon,25,Male,9.2,7.2,5.4,5,,28.2
220,Douglas Peters,20,Male,7,2.7,2.3,5,,16.9
221,Cynthia Miller,23,Female,7.1,7.3,5.3,5,,24.9
222,Karen Sanchez,23,Female,5.1,5.6,1.9,5,,26
223,Shelly Snyder,25,Male,6.6,9.7,5.9,5,,16.6
224,Heidi Swanson,22,Male,6.2,6.4,6,5,,20
225,Belinda Santos,19,Male,8.9,2.3,0,5,,29.3
226,Sandra Mercado,22,Male,4.7,1.5,7.1,5,,27.6
227,Vicki Mcfarland,18,Female,5.9,7,1.1,5,,21.8
228,Joseph Murphy,20,Male,7.2,3.6,9.1,5,,18.4
229,Angela Shaw,20,Male,6.1,3.8,5,5,,30
230,Brett Duarte,24,Male,9.9,5.5,3.5,5,,30
231,Andrea Middleton,21,Female,8.4,4.8,10,5,,13.9
232,Michael Norris,22,Male,9.6,9.9,5.6,5,,12.5
233,Crystal Hicks,20,Male,10,6.3,4.4,5,,21.8
234,Nicole Koch,22,Female,9.4,4.4,2.4,5,,25.4
235,John Reeves,22,Male,9,4.1,1.2,5,,30
236,Ashley Griffin,21,Female,9.7,7.4,6.9,5,,30
237,Scott Bentley,22,Female,7.1,6.7,10,5,,25.1
238,Amanda Perez,22,Male,6.3,3.9,2.4,5,,0.3
239,Megan Brewer,18,Female,6.6,5.3,6.4,5,,28.2
240,Antonio French,21,Female,6.7,6.7,4.8,5,,30
241,Christine Brown,22,Male,8.3,8.9,6,5,,7
242,James Bennett,18,Female,5.9,7.5,9.2,5,,20.2
243,Steven Guerrero,23,Male,7.5,10,7.2,5,,2.4
244,Bryan Montoya,24,Male,9.6,7.7,5.1,5,,7.8
245,Thomas Harrison,23,Female,5.8,7.5,10,5,,23.9
246,Richard Wolf,25,Female,9.4,4.5,5.1,5,,20.1
247,Jane Williams,19,Female,6.8,7,2.8,5,,15.6
248,Kimberly Matthews,21,Female,10,5,6.2,5,,29.3
249,Christopher Moore,24,Male,3.9,9.2,3.8,5,,30
250,Angela Rodriguez,25,Female,10,10,10,5,,30
251,Sarah King,22,Female,8.6,4.6,3,5,,20
252,Andrew Smith,21,Female,8.4,8.4,5.8,5,,30
253,James Castillo,23,Male,5.6,1.3,5.3,5,,18.8
254,Jennifer Martin,25,Female,5,10,9.2,5,,25.8
255,Margaret Williams,20,Male,6.3,8.7,10,5,,30
256,Barbara Wilson,19,Male,7.3,1.6,6.5,5,,18.5
257,Susan Hensley,24,Female,8,4.7,2,5,,0
258,William Walsh,24,Male,10,4.9,3.7,5,,24.7
259,Sonya Clark,25,Female,8.5,9.1,5.2,5,,18
260,Joshua Macdonald,23,Male,6.5,6.9,8.2,5,,12
261,Lori Johnson,23,Male,7,4.1,0,5,,28.8
262,Jamie Lopez,23,Male,7.1,7.3,0.8,5,,14.7
263,Adam Chen,19,Female,7.6,2.6,6.9,5,,19.6
264,Tami Mccormick,18,Male,5.5,4,6.1,5,,30
265,Tammy Bauer,21,Male,7.9,7.7,6,5,,16.3
266,Robert Miller,21,Male,4.9,0,6.8,5,,29
267,Rachel Anthony,18,Female,8.2,10,5.6,5,,12.7
268,Debra Harrell,22,Male,5.7,4,4.1,5,,10.5
269,Candice Neal,18,Male,7.6,5.4,4.6,5,,4.4
270,Jessica Smith,21,Female,6.6,10,6.4,5,,12.5
271,Ryan Taylor,18,Male,7.2,2.4,8.3,5,,13.3
272,Danielle Roberts,19,Male,6.1,9.2,5.7,5,,28.5
273,Gregory Martinez,23,Male,5.7,8.6,4.5,5,,16
274,Justin Shaw,18,Female,10,3.3,5.6,5,,30
275,Haley Welch,18,Female,4.9,7.1,4.9,5,,29.9
276,John James,19,Female,8.2,6.8,6.1,5,,16.5
277,Maria Booth,19,Female,7.3,9.3,2.5,5,,30
278,Amanda Taylor,20,Female,2.8,4.5,9.4,5,,19.8
279,Mr. Steven Lawrence,23,Female,8.7,7.4,4.8,5,,16.3
280,Karen Frost,25,Female,10,5.2,9.2,5,,30
281,Clarence Myers,19,Male,7.8,5.9,2.8,5,,23.2
282,John Smith,24,Female,6.1,6.5,6.3,5,,17.4
283,Morgan Davies,19,Female,8.7,2.6,5.9,5,,30
284,Stephanie Robinson,22,Female,8,6.4,6.6,5,,24.9
285,Krista Lawrence,19,Male,7.8,5.4,7.5,5,,30
286,Paul Clark,19,Female,9.2,5.7,0,5,,28.5
287,Sharon Riley,23,Male,7.7,6.5,7.6,5,,15.6
288,Amanda Perez,24,Male,8.5,7.5,2.7,5,,30
289,Jasmine Rowe,23,Male,7.7,10,4.8,5,,16.5
290,Amanda Bryant,20,Female,8.6,2,2.3,5,,9.3
291,Kyle Cook,23,Male,6.8,5.6,5.7,5,,30
292,Charles Oconnor,24,Male,9,7.3,6.1,5,,30
293,Elizabeth Johnston,22,Male,5.7,1.4,7,5,,30
294,Joshua Watson,22,Female,10,9.3,10,5,,27.4
295,Thomas Wagner,20,Female,6.5,3.9,10,5,,18.2
296,James Figueroa,18,Male,7.1,10,3.6,5,,21.9
297,Kathryn Garrison,24,Female,5.8,5.9,4.2,5,,13.1
298,Megan Jackson,23,Female,4,7.9,5.7,5,,5.4
299,Christina Brown,19,Male,7.6,9.4,0,5,,21.2
300,Craig Hernandez,18,Male,7.4,4.1,4.5,5,,12
